"state","place","zcta","stab","PlaceName","ZIPName","pop20","afact"
"State code","Place code","ZIP census tabulation area","State abbr.","Place name","ZIP Code name","Total population (2020 Census)","place-to-zcta allocation factor"
"48","05576","78380","TX","Banquete CDP, TX","Robstown, TX",120,0.1611 
"48","05612","75101","TX","Bardwell city, TX","Bardwell, TX (PO boxes)",625,1 
"48","05648","78828","TX","Barksdale CDP, TX","Barksdale, TX",81,0.8901 
"48","05648","78833","TX","Barksdale CDP, TX","Camp Wood, TX",10,0.1099 
"48","05690","78582","TX","Barrera CDP, TX","Rio Grande City, TX",122,1 
"48","05696","77532","TX","Barrett CDP, TX","Crosby, TX",5136,0.9833 
"48","05696","77562","TX","Barrett CDP, TX","Highlands, TX",87,0.0167 
"48","05708","75102","TX","Barry city, TX","Barry, TX",220,1 
"48","05720","79719","TX","Barstow city, TX","Barstow, TX (PO boxes)",265,1 
"48","05732","76511","TX","Bartlett city, TX","Bartlett, TX",1633,1 
"48","05750","78735","TX","Barton Creek CDP, TX","Austin, TX",3356,1 
"48","05768","75022","TX","Bartonville town, TX","Flower Mound, TX",152,0.0881 
"48","05768","76226","TX","Bartonville town, TX","Argyle, TX",1573,0.9119 
"48","05864","78602","TX","Bastrop city, TX","Bastrop, TX",9688,1 
"48","05924","78829","TX","Batesville CDP, TX","Batesville, TX",787,1 
"48","05984","77414","TX","Bay City city, TX","Bay City, TX",18061,1 
"48","06060","77563","TX","Bayou Vista city, TX","Hitchcock, TX",1763,1 
"48","06104","78340","TX","Bayside town, TX","Bayside, TX",275,1 
"48","06128","77520","TX","Baytown city, TX","Baytown, TX",37663,0.45 
"48","06128","77521","TX","Baytown city, TX","Baytown, TX",43827,0.5236 
"48","06128","77523","TX","Baytown city, TX","Baytown, TX",2211,0.0264 
"48","06140","78566","TX","Bayview town, TX","Los Fresnos, TX",475,1 
"48","06200","77523","TX","Beach City city, TX","Baytown, TX",3221,1 
"48","06242","78737","TX","Bear Creek village, TX","Austin, TX",397,1 
"48","06244","75146","TX","Bear Creek Ranch CDP, TX","Lancaster, TX",1787,1 
"48","06272","77417","TX","Beasley city, TX","Beasley, TX",608,1 
"48","07000","77627","TX","Beaumont city, TX","Nederland, TX",57,0.0005 
"48","07000","77701","TX","Beaumont city, TX","Beaumont, TX",13232,0.1148 
"48","07000","77702","TX","Beaumont city, TX","Beaumont, TX",2682,0.0233 
"48","07000","77703","TX","Beaumont city, TX","Beaumont, TX",13357,0.1159 
"48","07000","77705","TX","Beaumont city, TX","Beaumont, TX",17951,0.1557 
"48","07000","77706","TX","Beaumont city, TX","Beaumont, TX",29910,0.2595 
"48","07000","77707","TX","Beaumont city, TX","Beaumont, TX",17422,0.1511 
"48","07000","77708","TX","Beaumont city, TX","Beaumont, TX",12478,0.1082 
"48","07000","77713","TX","Beaumont city, TX","Beaumont, TX",8193,0.0711 
"48","07036","77627","TX","Beauxart Gardens CDP, TX","Nederland, TX",49,0.0461 
"48","07036","77705","TX","Beauxart Gardens CDP, TX","Beaumont, TX",1015,0.9539 
"48","07042","77836","TX","Beaver Creek CDP, TX","Caldwell, TX",910,1 
"48","07108","75631","TX","Beckville city, TX","Beckville, TX",722,1 
"48","07132","76021","TX","Bedford city, TX","Bedford, TX",35236,0.7057 
"48","07132","76022","TX","Bedford city, TX","Bedford, TX",14692,0.2943 
"48","07144","77831","TX","Bedias city, TX","Bedias, TX",361,1 
"48","07156","78735","TX","Bee Cave city, TX","Austin, TX",13,0.0014 
"48","07156","78738","TX","Bee Cave city, TX","Austin, TX",9131,0.9986 
"48","07192","78102","TX","Beeville city, TX","Beeville, TX",13669,1 
"48","07300","77401","TX","Bellaire city, TX","Bellaire, TX",17202,1 
"48","07396","76228","TX","Bellevue city, TX","Bellevue, TX",289,1 
"48","07408","76705","TX","Bellmead city, TX","Waco, TX",10494,1 
"48","07420","75414","TX","Bells town, TX","Bells, TX",1521,1 
"48","07432","77418","TX","Bellville city, TX","Bellville, TX",4206,1 
"48","07486","78737","TX","Belterra CDP, TX","Austin, TX",6170,1 
"48","07492","76513","TX","Belton city, TX","Belton, TX",23054,1 
"48","07516","76519","TX","Ben Arnold CDP, TX","Burlington, TX",117,1 
"48","07528","78341","TX","Benavides city, TX","Benavides, TX (PO boxes)",1183,1 
"48","07540","78332","TX","Ben Bolt CDP, TX","Alice, TX",1344,0.8087 
"48","07540","78342","TX","Ben Bolt CDP, TX","Ben Bolt, TX (PO boxes)",318,0.1913 
"48","07552","76109","TX","Benbrook city, TX","Fort Worth, TX",2322,0.0947 
"48","07552","76116","TX","Benbrook city, TX","Fort Worth, TX",4251,0.1734 
"48","07552","76126","TX","Benbrook city, TX","Fort Worth, TX",16154,0.6588 
"48","07552","76132","TX","Benbrook city, TX","Fort Worth, TX",1793,0.0731 
"48","07636","79505","TX","Benjamin city, TX","Benjamin, TX",196,1 
"48","07642","78582","TX","Benjamin Perez CDP, TX","Rio Grande City, TX",29,1 
"48","07708","75754","TX","Ben Wheeler CDP, TX","Ben Wheeler, TX",456,1 
"48","07852","75763","TX","Berryville town, TX","Frankston, TX",824,1 
"48","07864","78605","TX","Bertram city, TX","Bertram, TX",1616,1 
"48","08104","76711","TX","Beverly Hills city, TX","Waco, TX",1878,1 
"48","08128","77713","TX","Bevil Oaks city, TX","Beaumont, TX",1089,1 
"48","08164","78005","TX","Bigfoot CDP, TX","Bigfoot, TX",460,0.9583 
"48","08164","78016","TX","Bigfoot CDP, TX","Devine, TX",9,0.0187 
"48","08164","78057","TX","Bigfoot CDP, TX","Moore, TX",11,0.0229 
"48","08212","76932","TX","Big Lake city, TX","Big Lake, TX",2965,1 
"48","08224","75755","TX","Big Sandy town, TX","Big Sandy, TX",1231,1 
"48","08236","79720","TX","Big Spring city, TX","Big Spring, TX",24484,0.9365 
"48","08236","79721","TX","Big Spring city, TX","Big Spring, TX (PO boxes)",1660,0.0635 
"48","08240","77351","TX","Big Thicket Lake Estates CDP, TX","Livingston, TX",236,0.4591 
"48","08240","77369","TX","Big Thicket Lake Estates CDP, TX","Rye, TX (PO boxes)",278,0.5409 
"48","08260","78830","TX","Big Wells city, TX","Big Wells, TX",483,1 
"48","08392","78343","TX","Bishop city, TX","Bishop, TX",3174,1 
"48","08398","79124","TX","Bishop Hills town, TX","Amarillo, TX",211,1 
"48","08404","75555","TX","Bivins CDP, TX","Bivins, TX",153,1 
"48","08410","78559","TX","Bixby CDP, TX","La Feria, TX",352,1 
"48","08488","79506","TX","Blackwell city, TX","Blackwell, TX",258,1 
"48","08536","78606","TX","Blanco city, TX","Blanco, TX",1682,1 
"48","08596","76432","TX","Blanket town, TX","Blanket, TX",369,1 
"48","08644","79314","TX","Bledsoe CDP, TX","Bledsoe, TX (PO boxes)",56,1 
"48","08668","77419","TX","Blessing CDP, TX","Blessing, TX (PO boxes)",856,1 
"48","08752","75556","TX","Bloomburg town, TX","Bloomburg, TX",321,1 
"48","08788","76626","TX","Blooming Grove town, TX","Blooming Grove, TX",857,1 
"48","08800","77905","TX","Bloomington CDP, TX","Victoria, TX",12,0.0058 
"48","08800","77951","TX","Bloomington CDP, TX","Bloomington, TX (PO boxes)",2070,0.9942 
"48","08812","75416","TX","Blossom city, TX","Blossom, TX",1402,1 
"48","08830","78102","TX","Blue Berry Hill CDP, TX","Beeville, TX",844,1 
"48","08860","76131","TX","Blue Mound city, TX","Fort Worth, TX",2393,1 
"48","08872","75424","TX","Blue Ridge city, TX","Blue Ridge, TX",1180,1 
"48","08908","78559","TX","Bluetown CDP, TX","La Feria, TX",431,0.8778 
"48","08908","78586","TX","Bluetown CDP, TX","San Benito, TX",60,0.1222 
"48","08932","76433","TX","Bluff Dale CDP, TX","Bluff Dale, TX",151,1 
"48","09004","76627","TX","Blum town, TX","Blum, TX",383,1 
"48","09160","78006","TX","Boerne city, TX","Boerne, TX",17000,0.9524 
"48","09160","78015","TX","Boerne city, TX","Boerne, TX",850,0.0476 
"48","09172","75417","TX","Bogata city, TX","Bogata, TX",1074,1 
"48","09232","77420","TX","Boling CDP, TX","Boling, TX",930,1 
"48","09250","77617","TX","Bolivar Peninsula CDP, TX","Gilchrist, TX (PO boxes)",125,0.0451 
"48","09250","77623","TX","Bolivar Peninsula CDP, TX","High Island, TX (PO boxes)",340,0.1228 
"48","09250","77650","TX","Bolivar Peninsula CDP, TX","Port Bolivar, TX (PO boxes)",2304,0.8321 
"48","09310","78045","TX","Bonanza Hills CDP, TX","Laredo, TX",61,1 
"48","09328","75418","TX","Bonham city, TX","Bonham, TX",10408,1 
"48","09388","77583","TX","Bonney village, TX","Rosharon, TX",180,1 
"48","09448","79005","TX","Booker town, TX","Booker, TX",1437,1 
"48","09556","79007","TX","Borger city, TX","Borger, TX",12551,1 
"48","09598","78045","TX","Botines CDP, TX","Laredo, TX",149,1 
"48","09628","79009","TX","Bovina city, TX","Bovina, TX",1699,1 
"48","09640","76230","TX","Bowie city, TX","Bowie, TX",5448,1 
"48","09656","78840","TX","Box Canyon CDP, TX","Del Rio, TX",29,1 
"48","09748","76023","TX","Boyd town, TX","Boyd, TX",1412,0.9972 
"48","09748","76234","TX","Boyd town, TX","Decatur, TX",4,0.0028 
"48","09796","79010","TX","Boys Ranch CDP, TX","Boys Ranch, TX (PO boxes)",173,1 
"48","09868","78832","TX","Brackettville city, TX","Brackettville, TX",1341,1 
"48","09916","76825","TX","Brady city, TX","Brady, TX",5118,1 
"48","10072","77422","TX","Brazoria city, TX","Brazoria, TX",2866,1 
"48","10084","76472","TX","Brazos CDP, TX","Santo, TX",112,1 
"48","10090","77474","TX","Brazos Country city, TX","Sealy, TX",514,1 
"48","10132","76424","TX","Breckenridge city, TX","Breckenridge, TX",5187,1 
"48","10144","76629","TX","Bremond city, TX","Bremond, TX",858,1 
"48","10156","77833","TX","Brenham city, TX","Brenham, TX",17369,1 
"48","10192","76020","TX","Briar CDP, TX","Azle, TX",5449,0.7746 
"48","10192","76023","TX","Briar CDP, TX","Boyd, TX",1586,0.2254 
"48","10197","78669","TX","Briarcliff village, TX","Spicewood, TX",2062,1 
"48","10216","76028","TX","Briaroaks city, TX","Burleson, TX",507,1 
"48","10252","77611","TX","Bridge City city, TX","Bridge City, TX",9230,0.9669 
"48","10252","77630","TX","Bridge City city, TX","Orange, TX",316,0.0331 
"48","10264","76426","TX","Bridgeport city, TX","Bridgeport, TX",5923,1 
"48","10276","78608","TX","Briggs CDP, TX","Briggs, TX",101,1 
"48","10336","75119","TX","Bristol CDP, TX","Ennis, TX",714,1 
"48","10384","75929","TX","Broaddus town, TX","Broaddus, TX",164,0.8913 
"48","10384","75972","TX","Broaddus town, TX","San Augustine, TX",20,0.1087 
"48","10528","76933","TX","Bronte town, TX","Bronte, TX",933,1 
"48","10636","77423","TX","Brookshire city, TX","Brookshire, TX",5066,1 
"48","10648","77581","TX","Brookside Village city, TX","Pearland, TX",1548,1 
"48","10660","75421","TX","Brookston CDP, TX","Brookston, TX",91,1 
"48","10708","75931","TX","Browndell city, TX","Brookeland, TX",160,1 
"48","10720","79316","TX","Brownfield city, TX","Brownfield, TX",8936,1 
"48","10756","75756","TX","Brownsboro city, TX","Brownsboro, TX",1212,1 
"48","10768","78520","TX","Brownsville city, TX","Brownsville, TX",61943,0.3317 
"48","10768","78521","TX","Brownsville city, TX","Brownsville, TX",76460,0.4095 
"48","10768","78526","TX","Brownsville city, TX","Brownsville, TX",45529,0.2438 
"48","10768","78566","TX","Brownsville city, TX","Los Fresnos, TX",1731,0.0093 
"48","10768","78575","TX","Brownsville city, TX","Olmito, TX",824,0.0044 
"48","10768","78578","TX","Brownsville city, TX","Port Isabel, TX",8,0 
"48","10768","78586","TX","Brownsville city, TX","San Benito, TX",243,0.0013 
"48","10780","76801","TX","Brownwood city, TX","Brownwood, TX",18851,0.9994 
"48","10780","76802","TX","Brownwood city, TX","Early, TX",11,0.0006 
"48","10828","76524","TX","Bruceville-Eddy city, TX","Eddy, TX",1013,0.7169 
"48","10828","76630","TX","Bruceville-Eddy city, TX","Bruceville, TX",400,0.2831 
"48","10852","78834","TX","Brundage CDP, TX","Carrizo Springs, TX",12,1 
"48","10876","78344","TX","Bruni CDP, TX","Bruni, TX",251,1 
"48","10897","78613","TX","Brushy Creek CDP, TX","Cedar Park, TX",83,0.0037 
